번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
74,2022,리미트,"범죄,스릴러",이승준,"오필진 , 채길병",,"이정현 , 함상혁 , 문정희 , 진서연 , 박명훈 , 최덕문 , 임철형 , 박경혜 , 오민석 , 백승철 , 전국향 , 최예찬 , 김지유 , 강성하 , 심우성 , 최백선 , 김명선 , 여민구 , 서지원 , 이유진 , 강인서 , 배준수 , 신정만 , 김하언 , 신서현 , 여시현 , 황호균 , 이시현 , 최배영 , 이경준 , 정윤서 , 박주용 , 김세희 , 이원장 , 강채빈 , 한기윤 , 이윤규 , 정연 , 신용욱 , 이종민 , 심재호 , 장민수 , 김서빈 , 정창현 , 최형 , 전수지 , 김용현 , 성민준 , 최홍일 , 안도영",2020-07-10,2020-09-27,(주)제이앤씨미디어그룹,"TCO(주)더콘텐츠온 , (주)제이앤씨미디어그룹","(주)베러투모로우 , 나로픽처스(주) , (유)조이앤시네마",2022-08-31,원작 소설 '리미트' 노자와 히사시
75,2022,더 킬러: 죽어도 되는 아이,액션,최재훈,육경삼,남지웅,"장혁 , 이서영 , 브루스 칸 , 이승준 , 방은정 , 최기섭 , 신승환 , 홍서준 , 이채영 , 유서진 , 조한슬 , 김홍경 , 최영우 , 이건구 , 위민국 , 박형준 , 김태원 , 백진욱 , 박수지 , 정현옥 , 정원석 , 박근형 , 김미소 , 이혜지 , 양재희 , 한경미 , 한정희 , 김진형 , 방병현 , 조현수 , 고용석 , 구본혁 , 정윤철 , 조승원 , 김동환 , 윤택승 , 이상엽 , 박준환 , 박경모 , 송지민 , 박예슬 , 정성훈 , 조동혁 , 김선간 , 송지민 , 권오철 , 전시완 , 조제웅 , 이동민 , 고상현 , 김승준 , 이충식 , 전솔휘 , 이광호 , 박용균 , 김동철 , 유시정 , 김경우 , 심상용 , 김동운 , 정성호 , 박재선 , 김주용 , 임동은 , 김세빈 , 전찬웅 , 김용훈 , 황진모 , 심영석 , 오태승 , 김태진 , 조동혁 , 정성훈 , 윤기현 , 김주호 , 최민 , 정지상 , 이준 , 최재옥 , 김도연 , 박경모 , 김태경 , 손현주 , 차태현 , 박영운",,,"(주)아센디오 , (주)아이에이치큐","(주)아이에이치큐 , (주)영화사 륙 , (주)씨네필운","(주)아센디오 , (주)씨네마로엔터테인먼트",2022-07-13,원작 소설 '죽어도 되는 아이' 방진호
76,2022,뒤틀린 집,"공포(호러),드라마,스릴러",강동헌,"김애라 , 이유정",강동헌,"서영희 , 김민재 , 김보민 , 조수향 , 박혁권 , 오자훈 , 노하연 , 경다은 , 김나은 , 강길우 , 박옥출 , 이도아 , 정구현 , 윤상 , 장지원 , 이유정 , 김애라",,,,(주)스튜디오디에이치엘,(주)테이크원스튜디오,2022-07-13,원작 소설 '뒤틀린 집' 전건우
77,2021,핸썸,코미디,김동욱,서채우,"김동욱 , 조선학","신현준 , 박솔미 , 박민지 , 윤정섭 , 박형섭 , 조덕현 , 김정팔 , 신용훈 , 홍여준 , 전제혁 , 이종일 , 김미림 , 손소영 , 오윤수 , 남태하 , 김보성 , 정재훈 , 이마태오 , 김현섭 , 김수호 , 김승우 , 손범서 , 김윤우 , 우주명 , 변미선 , 엄선영 , 김경탁 , 이관욱 , 박시하 , 강기재 , 조민준 , 주은태 , 한태경 , 이동현 , 한찬규 , 신두리 , 김원중 , 구중림 , 우성현 , 박진영 , 범승제 , 장명준 , 박민규 , 김지수 , 류이나 , 정서연 , 황순혁 , 천석기 , 우광훈 , 김세별 , 황지수 , 현다슬 , 김승아 , 오지연 , 박소라 , 채수연 , 강소현 , 이현준 , 문성환 , 한여화 , 허애선 , 박소라 , 문현지 , 강진우 , 김도혁 , 오지환 , 이선제 , 김미경 , 최자인 , 엄정숙 , 김옥자 , 한바다 , 김정섭 , 강기재 , 이동민 , 한동주 , 구중림 , 정성재 , 김기훈 , 범승제 , 독고광 , 이승건 , 박재우 , 오승택 , 정유준 , 심형우 , 도형우 , 김보근 , 신연우 , 김민우 , 임상완 , 정현서 , 김경모",,,(주)더그레이트컴퍼니,(주)박수엔터테인먼트,(주)모그픽쳐스,2022-07-13,
78,2020,스파이형 모델,SF,김영일,,김영일,"주종혁 , 장현동 , 이병수 , 박진수 , 윤종구 , 이아주 , 이영재 , 서정빈 , 정의혁 , 이환진 , 김진희",2019-08-01,2019-08-15,,주식회사 씨엠닉스,워스트케이스 시나리오,2022-07-20,
79,2022,외계+인 1부,"액션,판타지,SF",최동훈,,,"류준열 , 김우빈 , 김태리 , 소지섭 , 염정아 , 조우진 , 김의성 , 이하늬 , 신정근 , 이시훈 , 김대명 , 최유리 , 김기천 , 윤병희 , 지건우 , 윤경호 , 옥자연 , 이현걸 , 김해숙 , 유재명 , 전여빈 , 김민서 , 김민준 , 이선희 , 백현주 , 최광제 , 심달기 , 조하이 , 김루아 , 김강일 , 이동희 , 김찬형 , 박무염 , 송영광 , 이동용 , 장준휘 , 한성수 , 김정한 , 김왕도 , 김세홍 , 김만호 , 김민체 , 박광재 , 박수진 , 김선혁 , 김우현 , 김민환 , 김재현 , 김윤도 , 김진욱 , 김한솔 , 문바롬 , 박수찬 , 성백인 , 안재원 , 이태환 , 이보영 , 윤상원 , 손주환 , 김단비 , 지한아 , 김빛나래 , 김세정 , 민정은 , 배윤민 , 정지원 , 지성은 , 전아희 , 한수아 , 고나영 , 박시연 , 송지혁 , 우상기 , 김선혁 , 한승윤 , 박인규 , 강정민 , 이희규 , 변진수 , 양미선 , 이병욱 , 장규식 , 전경희 , 강춘선 , 강차욱 , 김문조 , 조한길 , 류관후 , 김방선 , 전은미 , 정민규 , 고유준 , 전진기 , 이원민 , 이택근 , 서석규 , 한동훈 , 남지우 , 박래영 , 임보현 , 임우진 , 신혜지 , 김지선 , 김예주 , 이주혁 , 하시연 , 차영주 , 이수진 , 김수현 , 현오봉 , 김승준 , 박건률 , 선인호 , 이동석 , 조운성 , 조진결 , 한지훈 , 황인직 , 이준창 , 황재운 , 임재민 , 강기원 , 전원표 , 정예서 , 민새희 , 오채은 , 이하주 , 유독현 , 이가현 , 김현식 , 박종범 , 이섭정 , 강한별 , 김솔로몬 , 장석준 , 이수형",2020-03-29,2021-04-19,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)케이퍼필름,2022-07-20,
80,2021,아이를 위한 아이,기타,이승환,안병래,"이승환 , 이승환","현우석 , 박상훈 , 정웅인 , 길해연 , 김자영 , 김수겸 , 정순원 , 윤지혜 , 나석민 , 김준석 , 최지연 , 한송희 , 오치운 , 김현정 , 김휘규 , 양지일 , 금광산 , 한철우",,,,(주)트리플픽쳐스,(주)고집스튜디오,2022-07-21,
81,2021,한산: 용의 출현,"액션,드라마",김한민,"김주경 , 안태운 , 신창환 , 송두선 , 이지혜 , 문교리 , 이주광 , 김나정 , 이나라","김한민 , 윤홍기 , 이나라","박해일 , 이정태 , 변요한 , 안성기 , 손현주 , 김성규 , 김성균 , 김향기 , 옥택연 , 공명 , 박지환 , 조재윤 , 윤제문 , 박훈 , 윤진영 , 김강일 , 박재민 , 이서준 , 김민재 , 김재영 , 김구택 , 손경원 , 안성봉 , 이운산 , 김영웅 , 공정환 , 배현성 , 김대명 , 정예훈 , 김한민 , 김기호 , 김기환 , 강신구 , 김영탁 , 김공 , 이재한 , 정제우 , 정연 , 윤대열 , 김리우 , 김현태 , 현봉식 , 김범석 , 고한민 , 문승배 , 강덕중 , 서상원 , 김영찬 , 배명진 , 곽민호 , 정준화 , 황무영 , 안태준 , 이의령 , 안치욱 , 강병욱 , 김호연 , 김태근 , 고기영 , 이보영 , 홍윤 , 박선교 , 김동훈 , 서세명 , 박형준 , 이진민 , 이규탁 , 남현우 , 윤상원 , 이지운 , 문바롬 , 김태희 , 김동현 , 김우현 , 남상우 , 김현승 , 양동혁 , 오누리 , 한봄 , 박재이 , 김진희 , 강리안 , 박혜영 , 강보라 , 김지아 , 이다혜 , 김효주 , 한송희 , 한상경 , 김진형 , 오지훈 , 이루겸 , 최홍락 , 방병현 , 황성웅 , 김이담 , 김경태 , 김건보 , 이동빈 , 유건기 , 위민국 , 정동근 , 최돈학 , 권용덕 , 김용준 , 김한솔 , 김현우 , 강성락 , 이종욱 , 윤상영 , 김영호 , 이건록 , 장한솔 , 정현옥 , 이단 , 백태민 , 현직 , 손대민 , 이지영 , 김무섭 , 한동국 , 황민혁 , 조현수 , 김서준 , 채강 , 엄기영 , 손수호 , 이상호 , 민주호 , 오창후 , 김형석 , 구본혁 , 우혁 , 김명곤 , 문숙 , 이준혁 , 윤승훈",2020-05-18,2020-09-30,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,(주)빅스톤픽쳐스,2022-07-27,
82,2022,뽀로로 극장판 드래곤캐슬 대모험,애니메이션,"강승훈 , 윤제완",김현호,"강승훈 , 김창원 , 정은경","이선 , 이미자 , 김현지 , 홍소영 , 정미숙 , 김서영 , 김환진 , 소연 , 김혜성 , 이장원 , 사문영 , 엄상현",,,,(주)넥스트엔터테인먼트월드(NEW),(주)오콘,2022-07-28,
83,2021,초록밤,기타,윤서진,이지은,윤서진,"이태훈 , 김민경 , 강길우 , 변은영 , 오민애 , 김국희 , 원미원 , 이수아 , 송지연 , 이나라 , 이지은 , 윤지원 , 박진수 , 이승은 , 임수진 , 이민혁 , 이상완 , 김용완 , 김찬열 , 김호석 , 노치형",,,,㈜인디스토리,디파이언트,2022-07-28,
84,2021,카시오페아,드라마,신연식,김지형,"신연식 , 조유진","안성기 , 서현진 , 주예림 , 김다흰 , 홍성춘 , 구시연 , 공진서 , 최홍일 , 박채익 , 신윤주 , 박재민 , 이승훈 , 이은주 , 신지소 , 성홍일 , 조주경 , 최주원 , 이호정 , 시은미 , 신윤지 , 서영우 , 박근수 , 남기쁨 , 전누림 , 박지은 , 이영란 , 정아미 , 박명신 , 허연정 , 성수연 , 김정팔",2021-09-09,,,(주)트리플픽쳐스,(주) 루스이소니도스,2022-06-01,
85,2020,"괴물, 유령, 자유인","SF,멜로/로맨스,드라마",홍지영,,홍지영,"윤해신 , 권기하",,,,(주)스튜디오 보난자,,2022-06-02,
86,2022,브로커,드라마,고레에다 히로카즈,"송대찬 , 후쿠마 미유키 , 윤혜준",고레에다 히로카즈,"송강호 , 강동원 , 배두나 , 이지은 , 이주영 , 임승수 , 박지용 , 김선영 , 이무생 , 이동휘 , 김새벽 , 백현진 , 오희준 , 류경수 , 종호 , 성유빈 , 박강섭 , 김금순 , 강길우 , 김예은 , 정지우 , 류지안 , 윤슬 , 장혜민 , 정종열 , 최희진 , 이도군 , 김도연 , 최효상 , 강민지 , 이가경 , 양권석 , 이두석 , 박종현 , 전선호 , 박영준 , 황도윤 , 김다나 , 김수현 , 배가진 , 김진아 , 나경철 , 이가은혜 , 송새벽 , 박해준",2021-04-14,2021-06-22,(주)씨제이이엔엠,(주)씨제이이엔엠,영화사 집,2022-06-08,
87,2021,윤시내가 사라졌다,드라마,김진화,이유정,김진화,"이주영 , 오민애 , 노재원 , 김학선 , 김재화 , 박성준 , 김중기 , 이효비 , 임성미 , 김경덕 , 이지은 , 김승우 , 송예은 , 선여정 , 이일노 , 이명현 , 권종숙 , 박세화 , 정세환 , 이운 , 김진홍 , 이병수 , 신락숙 , 이윤화 , 김진수 , 이도훈 , 임찬상 , 방은희 , 정애연 , 권준기 , 윤시내",,,영화진흥위원회,"(주)블루라벨픽쳐스 , 디스트릭 몽",한국영화아카데미,2022-06-08,
88,2022,이공삼칠,"가족,드라마",모홍진,김대근,모홍진,"홍예지 , 김지영 , 황석정 , 김미화 , 신은정 , 전소민 , 정인기 , 윤미경 , 현영균 , 김도연 , 김영민 , 홍서준 , 서진원 , 조하석 , 김다솔 , 임도균 , 김소민 , 박란 , 노영학 , 은지혜 , 한담희 , 백상희 , 박현서 , 김세진 , 최가인 , 권아름 , 강동하 , 이윤경 , 정지아 , 정다은 , 박소윤 , 김나영 , 김지은 , 우수빈",2021-05-25,2021-06-18,,(주)씨네필운,"모티브픽쳐스(주) , (주)재크필름",2022-06-08,A.K.A. 소녀
89,2021,마녀(魔女) Part2. The Other One,액션,박훈정,신민경,박훈정,"신시아 , 박은빈 , 서은수 , 진구 , 성유빈 , 조민수 , 차순배 , 저스틴 하비 , 이종석 , 김다미 , 변서윤 , 채원빈 , 서이라 , 정라엘 , 김기해 , 장재영 , 정예진 , 모그 , 신영옥 , 김대흥 , 신희철 , 정환욱 , 우강민 , 최홍락 , 홍원표 , 유태근 , 윤기창 , 오기덕 , 이규영 , 한재웅 , 문동식 , 노승윤 , 고남호 , 이준 , 임승준 , 장남수 , 최동구 , 김한솔 , 공경배 , 서문호 , 이선호 , 한상경 , 이상렬 , 조광욱 , 정운 , 조창원 , 오원혁 , 김민규 , 김소민 , 김벼리 , 장지호 , 엄태구 , 김용우",2020-12-26,2021-04-18,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),"(주)영화사 금월 , (주)스튜디오앤뉴 , (주)페퍼민트앤컴퍼니",2022-06-15,
90,2022,경아의 딸,드라마,김정은,정승오,김정은,"김정영 , 하윤경 , 임형태 , 이채경 , 이지하 , 최희진 , 김우겸 , 이세랑 , 양흥주 , 양석희 , 박혜진 , 장호준 , 김아석 , 유병훈 , 이혜림 , 방예인 , 김학룡 , 한서준 , 이슬이 , 이수아 , 이천희 , 변성범 , 박윤석 , 이지원 , 구자은 , 김예지 , 금동호 , 곽민준 , 장준휘 , 전소현 , 장리우 , 임용순 , 권오성 , 최혜영 , 장태영 , 박송열 , 목충헌",,,,㈜인디스토리,주마등필름,2022-06-16,
91,2022,그대라는기억 연숙씨,다큐멘터리,심미희,"이진영 , 강영민",홍현영,"이규홍 , 이연숙 , 이양희",,,(주)인터파크,"(주)드림팩트엔터테인먼트 , 주식회사 블루필름웍스",드림채널,2022-06-16,
92,2020,아부쟁이,"액션,코미디,드라마",황승재,정필주,황승재,"류의현 , 김지민 , 강유석 , 동현배 , 곽민호 , 김동범 , 윤지원 , 변건우 , 이승일 , 양준 , 차보미 , 강현구 , 최호진 , 신준영 , 정진수 , 김대연 , 정경호",,,,시네마 뉴원,(주)해오름이앤티,2022-06-16,
93,2021,감동주의보,"멜로/로맨스,코미디",김우석,최인영,김우석,"홍수아 , 최웅 , 기주봉 , 남포동 , 이희구 , 정윤서 , 현우섭 , 신하랑 , 김경룡 , 김시하 , 최혜인 , 이승철 , 김요한 , 이인하 , 이원장 , 이병훈 , 김병호 , 천신남 , 나대한 , 아인 , 어석환 , 한태일 , 정미혜 , 이동규 , 김보연 , 지대한 , 김도현 , 김경애",2021-10-15,2021-11-01,,(주)스튜디오 보난자,(주)글로빅엔터테인먼트,2022-06-22,A.K.A. 감동의 나날
94,2021,룸 쉐어링,드라마,이순성,"이하영 , 박자명",이순성,"나문희 , 최우성 , 최선자 , 김강민 , 문동혁 , 이동규 , 김솔비 , 서현석 , 정수한 , 김시영 , 최승윤 , 정의욱 , 남명지 , 엄기백 , 홍일승 , 박주연 , 박진수 , 나은미 , 서유나 , 고영찬 , 조석준 , 김담로 , 황복순 , 한연희 , 이명자 , 안길강 , 정인기",,,주식회사 엔픽플,"주식회사 엔픽플 , 트윈플러스파트너스(주)",주식회사 티에스나린시네마,2022-06-22,
95,2020,갓길로 달리는 코뿔소,드라마,황동석,황동석,,"한이진 , 문창길 , 소이 , 류제승 , 정경호 , 기주봉 , 장의수 , 윤병희 , 김태준 , 배명진 , 차영남 , 강병구 , 홍은주 , 이석 , 최웅희 , 정회동 , 신희철 , 양현진 , 엄윤아 , 김주석 , 엄준호 , 고재근",,,(주)26컴퍼니,(주)26컴퍼니,"A18픽쳐스 , (주)26컴퍼니",2022-06-23,A.K.A. 더 복서
96,2022,극장판 윌벤져스 : 수상한 캠핑 대소동,애니메이션,"신창환 , 류정우","박근홍 , 성준호 , 장상현 , 류혁",신창환,"샘 해밍턴 , 김서영 , 강시현 , 최한 , 김가령 , 이미자 , 송준석 , 최석필 , 이현 , 최길용 , 이보용 , 이슬비 , 이상준",,,,(주)대교 미디어콘텐츠사업본부,(주)스튜디오게일,2022-06-23,
97,2020,니얼굴,다큐멘터리,서동일,장차현실,,"장차현실 , 정은혜",,,두물머리픽쳐스,(주)영화사 진진,두물머리픽쳐스,2022-06-23,
98,2021,모어,다큐멘터리,이일하,"백윤석 , 조은별",,"예브게니 슈테판 , 존 카메론 밋첼 , 모지민",,,,(주)엣나인필름,,2022-06-23,제 13회 DMZ국제다큐멘터리영화제 아름다운 기러기상 (이일하)
99,2022,위대한 침묵,다큐멘터리,송상민,,"문옥순 , 최지영 , 김윤경",,,,,"(주)지티지그룹 , 와이드 릴리즈(주)",(주)지티지그룹,2022-06-29,
100,2022,헤어질 결심,"미스터리,멜로/로맨스",박찬욱,"고대석 , 백지선","정서경 , 박찬욱","박해일 , 탕웨이 , 이정현 , 고경표 , 김신영 , 정영숙 , 유승목 , 서현우 , 정이서 , 이학주 , 정소리 , 신안진 , 김도연 , 고민시 , 차서원 , 주인영 , 윤성원 , 최선자 , 진용욱 , 안진상 , 박정민 , 박용우 , 정하담 , 최대훈 , 김미화 , 곽은진 , 안성봉 , 김성곤 , 문순주 , 현직 , 한서울 , 김도담 , 문정대 , 유인혜 , 권혁성 , 차상도 , 강경수 , 유태오 , 이지하 , 전성애 , 이경민 , 이용녀 , 김귀례 , 김도담 , 유다솜 , 김민준 , 김국진 , 김상현",2020-10-19,2021-03-12,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)모호필름,2022-06-29,
101,2022,보통의 용기,다큐멘터리,구민정,,,"공효진 , 이천희 , 전혜진",,,(주)드림팩트엔터테인먼트,(주)드림팩트엔터테인먼트,KBS,2022-06-30,
102,2021,영희,코미디,차상민,,차상민,"기은수 , 서범석 , 이호철 , 문서별 , 황장준 , 박봉헌 , 윤가령 , 박혜숙 , 박승재 , 류인아 , 원호연 , 이수지 , 길예진",,,,주식회사 씨엠닉스,주식회사 씨엠닉스,2022-05-01,
103,2022,액션동자,액션,최영민,"최영민 , 최광덕","최영민 , 주영란","홍정민 , 윤성우 , 최현진 , 함희수 , 김서율 , 배주원 , 정종훈 , 한형민 , 송창수 , 임태빈 , 신우준 , 엄주연 , 서장현 , 정지민 , 박승준 , 최양재 , 최혜원 , 박지우 , 박지수 , 최치우 , 최소율 , 홍라윤 , 김연주 , 강성현 , 최경원 , 이중현 , 맹봉학 , 김흥래 , 장지웅 , 한규남 , 문호진 , 박재현 , 김종연 , 신경호 , 이재화 , 김현아 , 홍서준 , 김찬미 , 최정현 , 김숙인 , 정유미 , 이정진 , 노은정 , 최창근 , 신치영 , 임희정 , 박형경 , 최영록 , 김효진 , 주영란 , 이상협 , 최건희 , 공연해 , 홍미영 , 유상희 , 임창재 , 민경철 , 윤영호 , 이준일",,,,(주)드림팩트엔터테인먼트,수리수리마수리,2022-05-05,
